id,name,iso_code,created_by,last_modified_by
194,South Georgia and the South Sandwich Islands,SGS,system,system
195,Spain,ESP,system,system
196,Sri Lanka,LKA,system,system
197,St. Helena,SHN,system,system
198,St. Pierre and Miquelon,SPM,system,system
199,Sudan,SDN,system,system
200,Suriname,SUR,system,system
201,Svalbard and Jan Mayen Islands,SJM,system,system
202,Swaziland,SWZ,system,system
203,Sweden,SWE,system,system
204,Switzerland,CHE,system,system
205,Syrian Arab Republic,SYR,system,system
206,Taiwan,TWN,system,system
207,Tajikistan,TJK,system,system
208,"Tanzania, United Republic of",TZA,system,system
209,Thailand,THA,system,system
210,Togo,TGO,system,system
211,Tokelau,TKL,system,system
212,Tonga,TON,system,system
213,Trinidad and Tobago,TTO,system,system
214,Tunisia,TUN,system,system
215,Turkey,TUR,system,system
216,Turkmenistan,TKM,system,system
217,Turks and Caicos Islands,TCA,system,system
218,Tuvalu,TUV,system,system
219,Uganda,UGA,system,system
220,Ukraine,UKR,system,system
221,United Arab Emirates,ARE,system,system
222,United Kingdom,GBR,system,system
223,United States,USA,system,system
224,United States Minor Outlying Islands,UMI,system,system
225,Uruguay,URY,system,system
226,Uzbekistan,UZB,system,system
227,Vanuatu,VUT,system,system
228,Vatican City State (Holy See),VAT,system,system
229,Venezuela,VEN,system,system
230,Viet Nam,VNM,system,system
231,Virgin Islands (British),VGB,system,system
232,Virgin Islands (U.S.),VIR,system,system
233,Wallis and Futuna Islands,WLF,system,system
234,Western Sahara,ESH,system,system
235,Yemen,YEM,system,system
236,Serbia,SRB,system,system
238,Zambia,ZMB,system,system
239,Zimbabwe,ZWE,system,system
241,"Palestine, State of",PSE,system,system
242,Montenegro,MNE,system,system
243,Guernsey,GGY,system,system
244,Isle of Man,IMN,system,system
245,Jersey,JEY,system,system
246,South Sudan,SSD,system,system
247,Curaçao,CUW,system,system
248,Sint Maarten (Dutch part),SXM,system,system
